Name,Year,Company,Transmission,KM_Driven,Fuel_Type,Owner,Registration,City,Original_Price,Sales_Price,Month,EMI(₹)
Maruti Celerio VXI AMT,2015,Maruti,AUTOMATIC,41383,Petrol + CNG,2nd Owner,KA-01-x-xxxx,Bangalore,428499,428499,Jun,8377
Volkswagen Vento HIGHLINE PLUS 1.0 TSI AT,2021,Volkswagen,AUTOMATIC,18774,Petrol,1st Owner,MH-06,Mumbai,1497999,1417599,Apr,26621
Maruti Celerio VXI CNG,2018,Maruti,MANUAL,78516,Petrol + CNG,2nd Owner,GJ-18,Ahmedabad,478499,478499,Apr,9355
Maruti New  Wagon-R LXI CNG 1.0 L,2019,Maruti,MANUAL,82792,Petrol + CNG,1st Owner,MH-12,Pune,579599,560299,Jul,10954
Maruti S PRESSO VXI PLUS,2019,Maruti,MANUAL,31739,Petrol,2nd Owner,UP-32-x-xxxx,Lucknow,458499,442399,Dec,8649
Hyundai i10 MAGNA 1.2 KAPPA2,2011,Hyundai,MANUAL,104862,Petrol,1st Owner,KL-42,Kochi,256999,221999,Oct,4340
Hyundai i10 SPORTZ 1.1 IRDE2,2014,Hyundai,MANUAL,50714,Petrol,2nd Owner,TN-06-x-xxxx,Chennai,378299,378299,Feb,7396
Hyundai VENUE 1.0 TURBO GDI SX+ AT,2019,Hyundai,AUTOMATIC,15763,Petrol,1st Owner,WB-20,Kolkata,1063199,1053099,Nov,19776
Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,2017,Hyundai,MANUAL,41418,Petrol,1st Owner,MP-04,Indore,476799,452799,Nov,8852
Honda WR-V 1.2 i-VTEC VX MT,2022,Honda,MANUAL,6644,Petrol,1st Owner,DL-8C,New Delhi,1063599,1033699,Mar,19412
Volkswagen TAIGUN COMFORTLINE  1.0 TSI MT,2022,Volkswagen,MANUAL,38802,Petrol,1st Owner,KA-09-x-xxxx,Bangalore,1285699,1285699,Feb,24144
Hyundai i10 MAGNA 1.2 KAPPA2,2014,Hyundai,MANUAL,87581,Petrol,1st Owner,AP-29-x-xxxx,Hyderabad,387899,387899,Feb,7584
Hyundai Elite i20 1.2 MAGNA PLUS VTVT,2019,Hyundai,MANUAL,50460,Petrol,1st Owner,KL-16,Kochi,613699,547699,Nov,10708
Maruti Celerio VXI CNG,2020,Maruti,MANUAL,67041,Petrol + CNG,1st Owner,MH-43,Mumbai,523899,481199,Aug,9408
Ford Ecosport 1.5 TITANIUM + (SUNROOF),2019,Ford,MANUAL,18779,Petrol,1st Owner,RJ-45,Jaipur,903749,863699,Oct,16219
Toyota Corolla Altis G AT,2016,Toyota,AUTOMATIC,60337,Petrol,1st Owner,MH-04,Mumbai,919199,845999,Mar,15887
Renault TRIBER 1.0 RXZ,2020,Renault,MANUAL,59044,Petrol,1st Owner,TN-14-x-xxxx,Chennai,728399,675999,Jan,13216
Renault Kiger RXZ 1.0 TURBO MT,2021,Renault,MANUAL,4761,Petrol,1st Owner,KA-51-x-xxxx,Bangalore,1006799,979999,May,18403
Hyundai GRAND I10 NIOS MAGNA 1.2 MT,2020,Hyundai,MANUAL,30010,Petrol,1st Owner,MP-04,Indore,627799,608849,Sep,11903
MG HECTOR SUPER HYBRID PETROL MT,2021,MG,MANUAL,7297,Petrol,1st Owner,RJ-45,Jaipur,1548799,1528699,Apr,28707
KIA SONET GTX PLUS DCT 1.0,2020,KIA,MANUAL,6178,Petrol,1st Owner,KA-03-x-xxxx,Bangalore,1442099,1374149,Nov,25805
Ford Ecosport 1.5 TREND TDCI,2015,Ford,MANUAL,51696,Diesel,3rd Owner,TN-02-x-xxxx,Chennai,557299,557299,Jun,10895
Datsun Redi Go T (O),2022,Datsun,MANUAL,600,Petrol,1st Owner,MH-12,Pune,508499,472299,Feb,9234
MG HECTOR SHARP DCT PETROL,2021,MG,AUTOMATIC,4025,Petrol,1st Owner,MP-04,Indore,1769499,1593399,Oct,29922
Maruti Swift Dzire LXI OPT,2016,Maruti,MANUAL,28164,Petrol,2nd Owner,WB-20,Kolkata,435199,401299,Jul,7845
Maruti S PRESSO VXI PLUS AGS,2021,Maruti,AUTOMATIC,10237,Petrol,2nd Owner,KA-51-x-xxxx,Bangalore,566799,551199,Feb,10776
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,2014,Hyundai,MANUAL,36392,Petrol,1st Owner,AP-29-x-xxxx,Hyderabad,485199,485199,May,9486
Maruti Wagon R 1.0 LXI CNG,2014,Maruti,MANUAL,53428,Petrol + CNG,1st Owner,MH-12,Pune,440599,435599,May,8516
Hyundai Creta 1.6 SX CRDI,2018,Hyundai,MANUAL,70988,Diesel,1st Owner,RJ-45,Jaipur,1250899,1148999,Apr,21577
Hyundai Grand i10 SPORTZ 1.1 CRDI,2014,Hyundai,MANUAL,70870,Diesel,1st Owner,AP-28-x-xxxx,Hyderabad,418299,413299,Jan,8080
Maruti Alto LXI,2020,Maruti,MANUAL,6272,Petrol,3rd Owner,WB-24,Kolkata,344999,344999,Jan,6745
Ford Ecosport 1.0 ECOBOOST TITANIUM,2014,Ford,MANUAL,75658,Petrol,1st Owner,WB-20,Kolkata,551099,551099,Jun,10774
Hyundai Creta 1.4 E PLUS CRDI,2019,Hyundai,MANUAL,70737,Diesel,2nd Owner,MP-09,Indore,1005499,1000499,Nov,18788
Tata Tiago XE 1.2 REVOTRON,2019,Tata,MANUAL,26524,Petrol,1st Owner,KL-42,Kochi,424499,424499,Feb,8299
Renault Kwid RXT Opt,2016,Renault,MANUAL,17147,Petrol,1st Owner,KA-02-x-xxxx,Bangalore,381699,381699,Apr,7462
Mahindra XUV500 W6 AT,2016,Mahindra,AUTOMATIC,89755,Diesel,2nd Owner,MH-14,Pune,1097699,1097699,Aug,20614
Mahindra XUV500 W6 4X2,2012,Mahindra,MANUAL,45780,Diesel,1st Owner,KL-07,Kochi,689899,689899,May,13488
Mahindra KUV 100 NXT K2 6 STR,2019,Mahindra,MANUAL,35513,Petrol,1st Owner,RJ-08,Jaipur,402699,402699,Oct,7873
Tata NEXON XZA + 1.2 PETROL A/T,2019,Tata,AUTOMATIC,8220,Petrol,1st Owner,MH-04,Mumbai,997799,950799,Mar,17855
KIA SELTOS HTK 1.5 PETROL,2020,KIA,MANUAL,14469,Petrol,1st Owner,GJ-01,Ahmedabad,1095999,1095999,Mar,20582
Renault Kwid RXL,2021,Renault,MANUAL,16973,Petrol,1st Owner,HR-51,New Delhi,423699,418699,May,8186
KIA SELTOS HTK 1.5 PETROL,2020,KIA,MANUAL,25188,Petrol,1st Owner,UP-32-x-xxxx,Lucknow,1049399,1049399,Jul,19707
Tata Tiago XM 1.2 REVOTRON,2016,Tata,MANUAL,29892,Petrol,1st Owner,WB-24,Kolkata,319199,319199,Apr,6240
Hyundai Eon ERA PLUS (O),2017,Hyundai,MANUAL,29305,Petrol,1st Owner,UP-32-x-xxxx,Lucknow,324299,319299,Oct,6242
Honda Jazz 1.2 V AT,2016,Honda,AUTOMATIC,42524,Petrol,2nd Owner,TS-09-x-xxxx,Hyderabad,677899,668499,Dec,13069
Toyota YARIS J MT,2020,Toyota,MANUAL,45304,Petrol,1st Owner,UP-32-x-xxxx,Lucknow,834399,807799,Aug,15170
Honda Brio 1.2 S MT I VTEC,2014,Honda,MANUAL,77690,Petrol,1st Owner,MH-02,Pune,362599,349699,May,6837
Volkswagen Polo GT TSI 1.2 PETROL AT,2016,Volkswagen,AUTOMATIC,79086,Petrol,2nd Owner,MH-01,Pune,620399,572499,Nov,11192
Maruti Swift VXI,2014,Maruti,MANUAL,54514,Petrol,3rd Owner,AP-16-x-xxxx,Hyderabad,455999,447849,Sep,8756
Toyota Etios G,2013,Toyota,MANUAL,43677,Petrol,1st Owner,TN-09-x-xxxx,Chennai,450599,450599,Mar,8809
Maruti Ritz ZXI,2010,Maruti,MANUAL,47638,Petrol,1st Owner,KA-04-x-xxxx,Bangalore,372799,372799,Oct,7288
Tata TIGOR XZ 1.2 REVOTRON,2018,Tata,MANUAL,36989,Petrol,2nd Owner,GJ-27,Ahmedabad,529699,529699,Aug,10356
Mahindra XUV500 W9,2019,Mahindra,MANUAL,66299,Diesel,1st Owner,KA-03-x-xxxx,Bangalore,1644099,1494799,Mar,28071
Maruti New  Wagon-R VXI 1.0,2020,Maruti,MANUAL,4685,Petrol,1st Owner,UP-42-x-xxxx,Lucknow,566099,566099,Jun,11067
Maruti S PRESSO VXI PLUS,2020,Maruti,MANUAL,11036,Petrol,1st Owner,TS-05-x-xxxx,Hyderabad,512299,491499,Oct,9609
Volkswagen Polo COMFORTLINE 1.0 PETROL,2018,Volkswagen,MANUAL,57633,Petrol,1st Owner,MP-04,Indore,522399,522399,Dec,10213
Hyundai Elite i20 SPORTZ 1.2,2016,Hyundai,MANUAL,83185,Petrol + CNG,2nd Owner,GJ-18,Ahmedabad,556599,556599,Aug,10882
Hyundai Elite i20 ERA 1.2,2019,Hyundai,MANUAL,21415,Petrol,1st Owner,WB-12,Kolkata,537899,532899,Nov,10418
Toyota YARIS J MT,2019,Toyota,MANUAL,49120,Petrol,1st Owner,MH-01,Pune,807399,739499,Jan,14457
Maruti Swift VXI,2013,Maruti,MANUAL,57228,Petrol,1st Owner,GJ-18,Ahmedabad,421199,421199,Oct,8235
Nissan Micra Active XV,2017,Nissan,MANUAL,58937,Petrol,2nd Owner,KA-03-x-xxxx,Bangalore,443799,438799,Apr,8579
Hyundai Creta S PETROL MT,2021,Hyundai,MANUAL,2771,Petrol,1st Owner,GJ-27,Ahmedabad,1297599,1232299,Nov,23141
Hyundai Grand i10 MAGNA 1.2 VTVT,2018,Hyundai,MANUAL,26383,Petrol,1st Owner,DL-8C,New Delhi,517699,509099,Aug,9953
Hyundai i10 MAGNA 1.2 KAPPA2,2011,Hyundai,MANUAL,86627,Petrol,2nd Owner,TN-10-x-xxxx,Chennai,304799,304799,Dec,5959
Toyota Etios G,2014,Toyota,MANUAL,63922,Petrol,1st Owner,KL-07,Kochi,349499,349499,Oct,6833
Tata Tiago XT 1.2 REVOTRON,2018,Tata,MANUAL,44296,Petrol,2nd Owner,TN-91-x-xxxx,Chennai,496299,472299,Jun,9234
Maruti Vitara Brezza ZXI +,2021,Maruti,MANUAL,12529,Petrol,1st Owner,TS-07-x-xxxx,Hyderabad,1065899,1065899,Feb,20016
Toyota YARIS V MT,2020,Toyota,MANUAL,23415,Petrol,1st Owner,TN-19-x-xxxx,Chennai,1055699,998299,Nov,18747
Maruti New  Wagon-R LXI CNG 1.0 L,2021,Maruti,MANUAL,19921,Petrol + CNG,1st Owner,MH-12,Pune,687199,674549,Nov,13188
Maruti Alto K10 LXI CNG,2016,Maruti,MANUAL,55888,Petrol + CNG,2nd Owner,DL-8C,New Delhi,313999,313999,May,6139
Volkswagen Polo COMFORTLINE  CUP EDITION,2019,Volkswagen,MANUAL,11718,Petrol,1st Owner,MH-04,Mumbai,760399,693499,Jun,13558
Tata NEXON XM 1.2,2019,Tata,MANUAL,37021,Petrol,1st Owner,KA-27-x-xxxx,Bangalore,791899,791899,Sep,15482
Renault Kwid RXT,2016,Renault,MANUAL,60708,Petrol,1st Owner,MH-05,Pune,347799,347799,Mar,6800
Ford Ecosport 1.5 TDCI TITANIUM PLUS,2018,Ford,MANUAL,67076,Diesel,1st Owner,TS-08-x-xxxx,Hyderabad,969599,969599,Apr,18208
Hyundai i10 MAGNA 1.2,2011,Hyundai,MANUAL,65698,Petrol,1st Owner,KA-04-x-xxxx,Bangalore,298024,298024,Jan,5826
Ford Ecosport 1.5 TITANIUM PLUS TI VCT AT,2018,Ford,AUTOMATIC,16053,Petrol,1st Owner,KL-09,Kochi,1048199,980899,Dec,18420
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,2019,Hyundai,MANUAL,2126,Petrol,1st Owner,KA-53-x-xxxx,Bangalore,648599,648599,Jan,12680
Hyundai Elite i20 Magna Executive Diesel,2018,Hyundai,MANUAL,86280,Diesel,2nd Owner,TS-07-x-xxxx,Hyderabad,653499,639499,Oct,12502
Honda Civic ZX CVT PETROL,2019,Honda,AUTOMATIC,9904,Petrol,1st Owner,WB-02,Kolkata,1658599,1610199,Jun,30238
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,2014,Hyundai,MANUAL,44095,Petrol,1st Owner,RJ-14,Jaipur,475499,475499,May,9296
Ford Ecosport 1.5 TITANIUM TI VCT,2018,Ford,MANUAL,29400,Petrol,1st Owner,TN-02-x-xxxx,Chennai,830399,830399,Jul,15594
Nissan MAGNITE XV MT PETROL,2021,Nissan,MANUAL,23745,Petrol,1st Owner,UP-32-x-xxxx,Lucknow,705299,705299,Apr,13789
MG HECTOR SHARP DCT PETROL,2020,MG,AUTOMATIC,32507,Petrol,1st Owner,GJ-06,Ahmedabad,1570899,1556099,Feb,29222
Honda Brio 1.2 S MT I VTEC,2017,Honda,MANUAL,41797,Petrol,2nd Owner,MP-04,Indore,414799,372399,Mar,7280
Renault Duster RXZ,2020,Renault,MANUAL,11412,Petrol,1st Owner,MH-12,Pune,1023799,911799,Oct,17123
Hyundai i20 SPORTZ 1.2 O,2012,Hyundai,MANUAL,82883,Petrol,2nd Owner,WB-02,Kolkata,294199,289199,Sep,5654
Renault Kiger RXZ 1.0 MT,2022,Renault,MANUAL,5952,Petrol,1st Owner,RJ-07,Jaipur,939699,934699,Jul,17553
Maruti New  Wagon-R 1.0 Lxi (o) cng,2021,Maruti,MANUAL,15810,Petrol + CNG,1st Owner,DL-8C,New Delhi,685199,675299,Mar,13202
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,2019,Hyundai,MANUAL,94896,Petrol,1st Owner,RJ-45,Jaipur,530299,530299,Apr,10367
Ford Ecosport 1.5 TITANIUMTDCI OPT,2014,Ford,MANUAL,67574,Diesel,1st Owner,MH-46,Mumbai,597699,584399,Apr,11425
Toyota Camry 2.5 AT,2015,Toyota,AUTOMATIC,90272,Petrol,2nd Owner,MH-14,Mumbai,1263799,1160499,May,21793
Honda City VX MT PETROL,2014,Honda,MANUAL,89584,Petrol,2nd Owner,DL-10,New Delhi,581799,581799,Nov,11374
Jeep Compass LIMITED PLUS 2.0 4*4,2019,Jeep,MANUAL,34532,Diesel,1st Owner,TN-07-x-xxxx,Chennai,2048399,2006399,Oct,37678
Hyundai Elite i20 ASTA 1.2,2015,Hyundai,MANUAL,56564,Petrol,2nd Owner,DL-4C,New Delhi,550799,550799,Feb,10768
Mahindra Scorpio S3 2WD,2018,Mahindra,MANUAL,57534,Diesel,1st Owner,DL-8C,New Delhi,972799,972799,Dec,18268
Toyota YARIS V CVT,2019,Toyota,AUTOMATIC,23097,Petrol,1st Owner,KA-01-x-xxxx,Bangalore,1147799,1147799,Jun,21554
Maruti Baleno DELTA 1.2 K12,2018,Maruti,MANUAL,26759,Petrol,1st Owner,HR-29,New Delhi,604899,559699,Apr,10942
Hyundai VENUE S Plus MT 1.2 Kappa,2021,Hyundai,MANUAL,4229,Petrol,1st Owner,UP-40-x-xxxx,Lucknow,928299,881299,Aug,16550
Renault TRIBER 1.0 RXT,2019,Renault,MANUAL,30927,Petrol,2nd Owner,MP-09,Indore,603899,603899,Nov,11806
Ford Ecosport 1.5 TDCI TITANIUM PLUS,2017,Ford,MANUAL,69342,Diesel,1st Owner,WB-26,Kolkata,677199,656399,Jun,12833
Toyota Fortuner 3.0 MT 4X2,2015,Toyota,MANUAL,50357,Diesel,1st Owner,UP-16-x-xxxx,Lucknow,1630399,1630399,Jun,30617
Toyota Etios V,2011,Toyota,MANUAL,88127,Petrol,2nd Owner,KA-09-x-xxxx,Bangalore,398199,398199,Mar,7785
Volkswagen Vento HIGHLINE PETROL,2014,Volkswagen,MANUAL,49479,Petrol,2nd Owner,MH-31,Pune,534219,486599,Oct,9513
Hyundai i10 MAGNA 1.2 KAPPA2,2011,Hyundai,MANUAL,32206,Petrol,1st Owner,DL-7C,New Delhi,265199,265199,Feb,5185
Jeep Compass LIMITED 2.0 4*4,2018,Jeep,MANUAL,76403,Diesel,1st Owner,KL-07,Kochi,1453799,1338799,May,25141
Maruti Wagon R LXI,2010,Maruti,MANUAL,76625,Petrol,2nd Owner,KL-22,Kochi,231699,204899,Oct,4006
Tata Tiago XZ 1.2 REVOTRON,2018,Tata,MANUAL,44867,Petrol,1st Owner,DL-10,New Delhi,455399,455399,Feb,8903
Maruti Alto LXI,2021,Maruti,MANUAL,2379,Petrol,1st Owner,UP-78-x-xxxx,Lucknow,422999,410999,Oct,8035
Honda City V CVT,2018,Honda,AUTOMATIC,30304,Petrol,1st Owner,GJ-38,Ahmedabad,961699,915499,Dec,17192
Toyota Innova 2.5 GX 8 STR BS IV,2014,Toyota,MANUAL,41158,Diesel,2nd Owner,GJ-12,Ahmedabad,694699,694699,Aug,13581
Maruti Alto LXI CNG,2021,Maruti,MANUAL,40046,Petrol + CNG,1st Owner,GJ-01,Ahmedabad,502599,481599,Feb,9415
Mahindra XUV 3OO 1.2 W4 MT,2020,Mahindra,MANUAL,21601,Petrol,1st Owner,UP-32-x-xxxx,Lucknow,707499,707499,Feb,13832
Maruti Alto 800 LXI,2019,Maruti,MANUAL,9790,Petrol,1st Owner,UP-41-x-xxxx,Lucknow,351899,345199,Jul,6749
Hyundai VENUE S Plus MT 1.2 Kappa,2021,Hyundai,MANUAL,9844,Petrol,1st Owner,GJ-01,Ahmedabad,933299,928299,Jul,17432
Toyota Etios Liva V,2019,Toyota,MANUAL,31645,Petrol,1st Owner,DL-14,New Delhi,502899,496099,Aug,9699
Ford Ecosport 1.5 TITANIUM PLUS TI VCT AT,2018,Ford,AUTOMATIC,42849,Petrol,1st Owner,TN-22-x-xxxx,Chennai,918899,918899,Jul,17256
Renault Kwid RXL,2019,Renault,MANUAL,17199,Petrol,2nd Owner,DL-9C,New Delhi,369499,351199,Jul,6866
Renault Duster RXS 106 PS MT,2020,Renault,MANUAL,14556,Petrol,1st Owner,KA-05-x-xxxx,Bangalore,1005799,999599,Aug,18771
Tata Tiago XE 1.2 REVOTRON,2018,Tata,MANUAL,31063,Petrol,1st Owner,TN-31-x-xxxx,Chennai,455899,455899,Nov,8913
Hyundai Verna FLUIDIC 1.6 SX VTVT,2012,Hyundai,MANUAL,39309,Petrol,1st Owner,KA-03-x-xxxx,Bangalore,583699,583699,Nov,11411
Honda Brio 1.2 S (O) MT IVTEC,2019,Honda,MANUAL,28546,Petrol,2nd Owner,RJ-45,Jaipur,467699,467699,Feb,9144
Maruti Ciaz S 1.3 SHVS,2017,Maruti,MANUAL,31425,Diesel,1st Owner,KA-03-x-xxxx,Bangalore,914699,914699,Dec,17177
Tata ALTROZ XE RHYTM,2020,Tata,MANUAL,17164,Petrol,2nd Owner,TN-31-x-xxxx,Chennai,627899,627899,Jul,12276
Mahindra Thar LX HT PETROL 4WD MT,2022,Mahindra,MANUAL,7464,Petrol,1st Owner,MH-15,Mumbai,1625199,1552399,Apr,29152
Ford Ecosport 1.5 TDCI TITANIUM PLUS,2016,Ford,MANUAL,57166,Diesel,1st Owner,MH-09,Mumbai,716299,706799,Sep,13818
Volkswagen TIGUAN HIGHLINE A/T,2018,Volkswagen,AUTOMATIC,75073,Diesel,1st Owner,DL-1C,New Delhi,2139099,1941699,Jun,36463
Toyota Corolla Altis GL,2017,Toyota,MANUAL,44929,Petrol,2nd Owner,DL-10,New Delhi,1297499,1222799,Apr,22963
Tata ALTROZ XZ 1.2,2020,Tata,MANUAL,23603,Petrol,1st Owner,DL-9C,New Delhi,827999,818499,Jun,15371
Honda WR-V 1.2 i-VTEC S MT,2017,Honda,MANUAL,47843,Petrol + CNG,2nd Owner,GJ-15,Ahmedabad,628599,628599,Apr,12289
Honda City VX CVT PETROL,2017,Honda,AUTOMATIC,74969,Petrol,1st Owner,GJ-38,Ahmedabad,874799,874799,Sep,16428
MARUTI BREZZA ZXI + SMART HYBRID,2022,MARUTI,MANUAL,16175,Petrol,1st Owner,TS-08-x-xxxx,Hyderabad,1373099,1331199,Apr,24999
Renault Kwid RXL,2020,Renault,MANUAL,42570,Petrol,2nd Owner,RJ-06,Jaipur,376299,376299,Aug,7357
Volkswagen Polo HIGHLINE PLUS 1.0 TSI MT,2020,Volkswagen,MANUAL,5956,Petrol,1st Owner,TS-08-x-xxxx,Hyderabad,931599,931599,Aug,17494
Maruti Vitara Brezza ZXI +,2021,Maruti,MANUAL,26848,Petrol,1st Owner,TS-08-x-xxxx,Hyderabad,1065899,1065899,Oct,20016
MG HECTOR SHARP DCT PETROL,2020,MG,AUTOMATIC,17482,Petrol,1st Owner,GJ-06,Ahmedabad,1600299,1577499,Feb,29624
MG HECTOR SHARP DCT PETROL,2019,MG,AUTOMATIC,24498,Petrol,1st Owner,UP-32-x-xxxx,Lucknow,1492199,1456399,Nov,27350
Maruti Swift ZXI+ DUAL TONE,2022,Maruti,MANUAL,25341,Petrol,1st Owner,TS-05-x-xxxx,Hyderabad,925399,907399,Mar,17040
Honda WR-V 1.2 i-VTEC S MT,2019,Honda,MANUAL,18541,Petrol,1st Owner,KA-19-x-xxxx,Bangalore,825799,754599,May,14753
Honda City V MT PETROL,2012,Honda,MANUAL,87176,Petrol,2nd Owner,MH-04,Mumbai,421999,421999,Aug,8250
Maruti Swift VDI,2017,Maruti,MANUAL,82858,Diesel,1st Owner,WB-02,Kolkata,457699,436299,Jul,8530
Hyundai Eon ERA PLUS,2012,Hyundai,MANUAL,29818,Petrol,1st Owner,DL-12,New Delhi,176899,176899,Sep,3458
Tata Harrier XM 2.0L Kryotec,2019,Tata,MANUAL,56931,Diesel,1st Owner,GJ-01,Ahmedabad,1396799,1231499,Jun,23126
Renault Kwid 1.0 RXT Opt,2021,Renault,MANUAL,5451,Petrol,2nd Owner,MH-14,Pune,540599,505249,Jul,9878
Volkswagen Polo Trendline 1.0 L Petrol,2020,Volkswagen,MANUAL,24344,Petrol,1st Owner,WB-08,Kolkata,573199,526299,Aug,10289
Volkswagen Polo COMFORTLINE 1.2L PETROL,2014,Volkswagen,MANUAL,60942,Petrol,2nd Owner,MH-49,Pune,435199,435199,Nov,8508
Maruti Celerio ZXI,2017,Maruti,MANUAL,34199,Petrol,1st Owner,MH-43,Pune,457599,457599,Nov,8946
Honda Jazz 1.2 VX I-VTECH,2015,Honda,MANUAL,82373,Petrol,3rd Owner,TS-08-x-xxxx,Hyderabad,585549,511499,Aug,10000
Toyota YARIS VX CVT,2019,Toyota,AUTOMATIC,60571,Petrol,1st Owner,MH-12,Pune,1005799,922699,Jul,17327
Toyota Glanza V CVT,2021,Toyota,AUTOMATIC,5572,Petrol,1st Owner,KA-03-x-xxxx,Bangalore,1144399,1058699,Jul,19881
KIA SELTOS HTK PLUS 1.5 PETROL,2019,KIA,MANUAL,35765,Petrol,1st Owner,KA-53-x-xxxx,Bangalore,1240799,1192399,Nov,22392
Maruti S Cross ALPHA 1.5 SMART HYBRID,2020,Maruti,MANUAL,47685,Petrol,1st Owner,TS-08-x-xxxx,Hyderabad,1162299,1135199,Dec,21318
Renault Kwid RXT,2016,Renault,MANUAL,36375,Petrol,2nd Owner,TN-91-x-xxxx,Chennai,345299,345299,Sep,6751
Maruti Swift Dzire ZXI 1.2 BS IV,2012,Maruti,MANUAL,76869,Petrol,2nd Owner,MH-04,Mumbai,421299,407799,Dec,7973
Toyota URBAN CRUISER PREMIUM DUAL TONE AT,2020,Toyota,MANUAL,15821,Petrol,2nd Owner,MH-05,Mumbai,1105399,1052399,Dec,19763
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,2015,Hyundai,MANUAL,51806,Petrol,1st Owner,UP-32-x-xxxx,Lucknow,410899,397399,Oct,7769
Renault Kwid RXT,2016,Renault,MANUAL,60983,Petrol,2nd Owner,TN-05-x-xxxx,Chennai,342399,334699,Mar,6543
Toyota Etios Liva G,2013,Toyota,MANUAL,91683,Petrol,2nd Owner,KL-41,Kochi,414499,375499,Oct,7341
Mahindra TUV300 T8 AT,2016,Mahindra,AUTOMATIC,71880,Diesel,1st Owner,KL-07,Kochi,599099,599099,Dec,11713
Maruti S PRESSO VXI,2020,Maruti,MANUAL,10338,Petrol,1st Owner,GJ-21,Ahmedabad,443399,412049,Nov,8056
Maruti Vitara Brezza ZDI PLUS,2019,Maruti,MANUAL,72970,Diesel,1st Owner,UP-32-x-xxxx,Lucknow,927749,838099,Jun,15739
Tata NEXON XM 1.2,2019,Tata,MANUAL,20490,Petrol,1st Owner,DL-8C,New Delhi,731599,731599,May,14303
Maruti S PRESSO VXI PLUS AGS,2021,Maruti,AUTOMATIC,30798,Petrol,1st Owner,KA-52-x-xxxx,Bangalore,522899,522899,Jan,10223
Maruti Dzire VXI,2019,Maruti,MANUAL,95528,Petrol,1st Owner,KL-63,Kochi,667699,659899,Oct,12901
Ford Endeavour 2.2l 4X2 AT Trend,2017,Ford,AUTOMATIC,61319,Diesel,2nd Owner,GJ-01,Ahmedabad,2270899,2106799,Sep,39564
Maruti Alto K10 VXI,2012,Maruti,MANUAL,27730,Petrol,2nd Owner,WB-02,Kolkata,191699,191699,Oct,3748
Honda City ZX CVT,2018,Honda,AUTOMATIC,11532,Petrol,1st Owner,GJ-06,Ahmedabad,1244999,1130699,Aug,21233
Maruti Alto 800 LXI,2014,Maruti,MANUAL,62787,Petrol,1st Owner,TS-11-x-xxxx,Hyderabad,256699,248799,Dec,4864
Toyota YARIS J CVT,2021,Toyota,AUTOMATIC,16583,Petrol,1st Owner,TN-14-x-xxxx,Chennai,1167899,1101999,Mar,20694
Maruti Baleno SIGMA 1.2 K12,2021,Maruti,MANUAL,9981,Petrol,1st Owner,UP-32-x-xxxx,Lucknow,678499,640799,Nov,12528
Renault TRIBER 1.0 RXZ,2020,Renault,MANUAL,28912,Petrol,1st Owner,MH-12,Pune,702099,675499,Jun,13206
KIA SELTOS HTX+ MT 1.5 DIESEL,2021,KIA,MANUAL,16047,Diesel,3rd Owner,"Valid upto Nov 2023
3rd Party",Lucknow,1149899,1149899,Oct,21594
Maruti Swift VDI,2018,Maruti,MANUAL,30388,Diesel,2nd Owner,KA-06-x-xxxx,Bangalore,724699,724699,Oct,14168
Maruti Dzire VDI,2019,Maruti,MANUAL,45130,Diesel,1st Owner,UP-40-x-xxxx,Lucknow,728199,670199,Oct,13103
Maruti Celerio VXI CNG,2016,Maruti,MANUAL,57454,Petrol + CNG,1st Owner,MH-02,Mumbai,437999,437999,Jun,8563
Toyota Glanza G CVT,2020,Toyota,AUTOMATIC,6550,Petrol,1st Owner,DL-3C,New Delhi,859199,859199,Nov,16135
Maruti S PRESSO VXI CNG,2020,Maruti,MANUAL,18982,Petrol + CNG,1st Owner,MH-46,Mumbai,605599,605599,Oct,11840
Tata Harrier XZ 2.0L Kryotec,2019,Tata,MANUAL,39190,Diesel,1st Owner,MH-03,Mumbai,1638499,1629799,Mar,30606
Volkswagen Vento COMFORTLINE MT PETROL,2019,Volkswagen,MANUAL,10624,Petrol,1st Owner,WB-06,Kolkata,663999,663999,Feb,12981
Maruti Alto K10 LXI CNG (O),2018,Maruti,MANUAL,83128,Petrol + CNG,1st Owner,DL-2C,New Delhi,361699,361699,Jun,7071
Mahindra TUV300 T8 AT,2018,Mahindra,AUTOMATIC,28692,Diesel,1st Owner,UP-16-x-xxxx,Lucknow,684199,684199,Apr,13376
Renault Kwid RXL,2019,Renault,MANUAL,39109,Petrol,1st Owner,TS-12-x-xxxx,Hyderabad,380499,362049,Jul,7078
Hyundai NEW SANTRO 1.1 MAGNA MT,2019,Hyundai,MANUAL,38747,Petrol,1st Owner,RJ-18,Jaipur,486699,486699,Jun,9515
Tata NEXON XZ+ 1.2,2020,Tata,MANUAL,24184,Petrol,1st Owner,KL-44,Kochi,958099,903199,Oct,16961
