Name,Year,Company,Transmission,KM_Driven,Fuel_Type,Owner,Registration,City,Original_Price,Sales_Price,Month,EMI(₹)
Maruti Alto 800 VXI,2014,Maruti,MANUAL,76417,Petrol,2nd Owner,TS-08-x-xxxx,Hyderabad,274099,274099,Jun,5359
Renault Kwid 1.0 CLIMBER OPT,2022,Renault,MANUAL,8969,Petrol,1st Owner,TS-13-x-xxxx,Hyderabad,531399,531399,Sep,10389
Renault Duster RXZ 85 PS DIESEL,2017,Renault,MANUAL,33220,Diesel,1st Owner,KA-51-x-xxxx,Bangalore,1060099,1022099,Aug,19194
Tata TIGOR Revotron XE,2021,Tata,MANUAL,1313,Petrol,1st Owner,MH-02,Mumbai,669199,651699,Aug,12741
Maruti Celerio VXI,2018,Maruti,MANUAL,54446,Petrol,1st Owner,MH-47,Pune,527099,506199,Oct,9896
Toyota Glanza G MT PETROL,2022,Toyota,MANUAL,12575,Petrol,1st Owner,MP-48,Indore,915299,915299,Jun,17188
Volkswagen Vento HIGHLINE 1.2 TSI AT,2016,Volkswagen,AUTOMATIC,64101,Petrol,2nd Owner,KA-03-x-xxxx,Bangalore,879399,879399,Jul,16514
Honda WR-V 1.2 i-VTEC VX MT,2017,Honda,MANUAL,63136,Petrol,2nd Owner,TS-13-x-xxxx,Hyderabad,728599,728599,Oct,14244
Ford Ecosport 1.5 TITANIUM TI VCT,2020,Ford,MANUAL,6523,Petrol,1st Owner,RJ-45,Jaipur,929299,929299,Oct,17451
Renault Kiger RXZ 1.0 TURBO MT DUAL TONE,2021,Renault,MANUAL,8885,Petrol,1st Owner,KL-34,Kochi,963999,946299,Sep,17771
Maruti S PRESSO VXI PLUS,2022,Maruti,MANUAL,12117,Petrol,1st Owner,KA-67-x-xxxx,Bangalore,616199,593299,May,11599
Toyota Corolla Altis  VL AT,2009,Toyota,AUTOMATIC,95781,Petrol,2nd Owner,AP-10-x-xxxx,Hyderabad,558599,504299,Jul,9859
KIA SONET HTX 1.5D MT AE,2022,KIA,MANUAL,2383,Diesel,1st Owner,MH-12,Pune,1561899,1438149,May,27007
Mahindra XUV500 W7 FWD,2018,Mahindra,MANUAL,51066,Diesel,1st Owner,KA-51-x-xxxx,Bangalore,1470399,1323199,Oct,24848
Ford Ecosport 1.5TITANIUM TDCI,2020,Ford,MANUAL,73641,Diesel,1st Owner,GJ-27,Ahmedabad,997399,940099,Feb,17654
Hyundai NEW SANTRO SPORTZ 1.1,2022,Hyundai,MANUAL,5523,Petrol,1st Owner,RJ-45,Jaipur,588999,520499,May,10176
Tata Harrier XZ 2.0L Kryotec,2019,Tata,MANUAL,43113,Diesel,1st Owner,RJ-45,Jaipur,1631599,1589699,May,29853
